Serial Number, Date-Time,Value

110,3/8/2010 2:00:00 AM,1

110,3/8/2010 2:01:00 AM,1

110,3/8/2010 2:02:00 AM,0

110,3/8/2010 2:03:00 AM,3

110,3/8/2010 2:04:00 AM,3

110,3/8/2010 2:05:00 AM,1

110,3/8/2010 2:06:00 AM,1

110,3/8/2010 2:07:00 AM,1

110,3/8/2010 2:08:00 AM,1

110,3/8/2010 2:09:00 AM,1

110,3/8/2010 2:10:00 AM,0

110,3/8/2010 2:11:00 AM,2

110,3/8/2010 2:12:00 AM,2

110,3/8/2010 2:13:00 AM,2

110,3/8/2010 2:14:00 AM,1

110,3/8/2010 2:15:00 AM,0

110,3/8/2010 2:16:00 AM,0

110,3/8/2010 2:17:00 AM,1

110,3/8/2010 2:18:00 AM,1

110,3/8/2010 2:19:00 AM,4

110,3/8/2010 2:20:00 AM,0

110,3/8/2010 2:21:00 AM,1

110,3/8/2010 2:22:00 AM,6

110,3/8/2010 2:23:00 AM,2

110,3/8/2010 2:24:00 AM,2

110,3/8/2010 2:25:00 AM,1

110,3/8/2010 2:26:00 AM,3

110,3/8/2010 2:27:00 AM,5

110,3/8/2010 2:28:00 AM,16

110,3/8/2010 2:29:00 AM,2

110,3/8/2010 2:30:00 AM,1

110,3/8/2010 2:31:00 AM,1

110,3/8/2010 2:32:00 AM,1

110,3/8/2010 2:33:00 AM,1

110,3/8/2010 2:34:00 AM,2

110,3/8/2010 2:35:00 AM,0

110,3/8/2010 2:36:00 AM,0

110,3/8/2010 2:37:00 AM,2

110,3/8/2010 2:38:00 AM,14

110,3/8/2010 2:39:00 AM,24

110,3/8/2010 2:40:00 AM,1

110,3/8/2010 2:41:00 AM,3

110,3/8/2010 2:42:00 AM,0

110,3/8/2010 2:43:00 AM,1

110,3/8/2010 2:44:00 AM,46

110,3/8/2010 2:45:00 AM,13

110,3/8/2010 2:46:00 AM,7

110,3/8/2010 2:47:00 AM,5

110,3/8/2010 2:48:00 AM,1

110,3/8/2010 2:49:00 AM,1

110,3/8/2010 2:50:00 AM,0

110,3/8/2010 2:51:00 AM,1

110,3/8/2010 2:52:00 AM,1

110,3/8/2010 2:53:00 AM,0

110,3/8/2010 2:54:00 AM,1

110,3/8/2010 2:55:00 AM,0

110,3/8/2010 2:56:00 AM,3

110,3/8/2010 2:57:00 AM,2

110,3/8/2010 2:58:00 AM,2

110,3/8/2010 2:59:00 AM,1

110,3/8/2010 3:00:00 AM,1

110,3/8/2010 3:01:00 AM,0

110,3/8/2010 3:02:00 AM,1

110,3/8/2010 3:03:00 AM,1

110,3/8/2010 3:04:00 AM,2

110,3/8/2010 3:05:00 AM,1

110,3/8/2010 3:06:00 AM,1

110,3/8/2010 3:07:00 AM,1

110,3/8/2010 3:08:00 AM,1

110,3/8/2010 3:09:00 AM,3

110,3/8/2010 3:10:00 AM,1

110,3/8/2010 3:11:00 AM,1

110,3/8/2010 3:12:00 AM,0

110,3/8/2010 3:13:00 AM,1

110,3/8/2010 3:14:00 AM,1

110,3/8/2010 3:15:00 AM,0

110,3/8/2010 3:16:00 AM,0

110,3/8/2010 3:17:00 AM,1

110,3/8/2010 3:18:00 AM,2

110,3/8/2010 3:19:00 AM,2

110,3/8/2010 3:20:00 AM,3

110,3/8/2010 3:21:00 AM,2

110,3/8/2010 3:22:00 AM,0

110,3/8/2010 3:23:00 AM,1

110,3/8/2010 3:24:00 AM,2

110,3/8/2010 3:25:00 AM,2

110,3/8/2010 3:26:00 AM,1

110,3/8/2010 3:27:00 AM,2

110,3/8/2010 3:28:00 AM,1

110,3/8/2010 3:29:00 AM,1

110,3/8/2010 3:30:00 AM,1

110,3/8/2010 3:31:00 AM,1

110,3/8/2010 3:32:00 AM,2

110,3/8/2010 3:33:00 AM,0

110,3/8/2010 3:34:00 AM,1

110,3/8/2010 3:35:00 AM,1

110,3/8/2010 3:36:00 AM,0

110,3/8/2010 3:37:00 AM,0

110,3/8/2010 3:38:00 AM,0

110,3/8/2010 3:39:00 AM,2

110,3/8/2010 3:40:00 AM,2

110,3/8/2010 3:41:00 AM,2

110,3/8/2010 3:42:00 AM,2

110,3/8/2010 3:43:00 AM,0

110,3/8/2010 3:44:00 AM,0

110,3/8/2010 3:45:00 AM,0

110,3/8/2010 3:46:00 AM,0

110,3/8/2010 3:47:00 AM,2

110,3/8/2010 3:48:00 AM,1

110,3/8/2010 3:49:00 AM,1

110,3/8/2010 3:50:00 AM,3

110,3/8/2010 3:51:00 AM,2

110,3/8/2010 3:52:00 AM,1

110,3/8/2010 3:53:00 AM,11

110,3/8/2010 3:54:00 AM,12

110,3/8/2010 3:55:00 AM,12

110,3/8/2010 3:56:00 AM,1

110,3/8/2010 3:57:00 AM,2

110,3/8/2010 3:58:00 AM,0

110,3/8/2010 3:59:00 AM,0

110,3/8/2010 4:00:00 AM,1

110,3/8/2010 4:01:00 AM,2

110,3/8/2010 4:02:00 AM,0

110,3/8/2010 4:03:00 AM,0

110,3/8/2010 4:04:00 AM,0

110,3/8/2010 4:05:00 AM,2

110,3/8/2010 4:06:00 AM,0

110,3/8/2010 4:07:00 AM,2

110,3/8/2010 4:08:00 AM,0

110,3/8/2010 4:09:00 AM,1

110,3/8/2010 4:10:00 AM,1

110,3/8/2010 4:11:00 AM,1

110,3/8/2010 4:12:00 AM,2

110,3/8/2010 4:13:00 AM,1

110,3/8/2010 4:14:00 AM,1

110,3/8/2010 4:15:00 AM,1

110,3/8/2010 4:16:00 AM,1

110,3/8/2010 4:17:00 AM,2

110,3/8/2010 4:18:00 AM,1

110,3/8/2010 4:19:00 AM,1

110,3/8/2010 4:20:00 AM,3

110,3/8/2010 4:21:00 AM,3

110,3/8/2010 4:22:00 AM,4

110,3/8/2010 4:23:00 AM,4

110,3/8/2010 4:24:00 AM,3

110,3/8/2010 4:25:00 AM,2

110,3/8/2010 4:26:00 AM,1

110,3/8/2010 4:27:00 AM,2

110,3/8/2010 4:28:00 AM,1

110,3/8/2010 4:29:00 AM,1

110,3/8/2010 4:30:00 AM,3

110,3/8/2010 4:31:00 AM,2

110,3/8/2010 4:32:00 AM,1

110,3/8/2010 4:33:00 AM,1

110,3/8/2010 4:34:00 AM,0

110,3/8/2010 4:35:00 AM,0

110,3/8/2010 4:36:00 AM,4

110,3/8/2010 4:37:00 AM,1

110,3/8/2010 4:38:00 AM,2

110,3/8/2010 4:39:00 AM,5

110,3/8/2010 4:40:00 AM,2

110,3/8/2010 4:41:00 AM,1

110,3/8/2010 4:42:00 AM,3

110,3/8/2010 4:43:00 AM,4

110,3/8/2010 4:44:00 AM,57

110,3/8/2010 4:45:00 AM,3

110,3/8/2010 4:46:00 AM,3

